,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
10,(-0.01574104359109248+0j),(0.015883935353902024+0j),(-0.001236171184669328+0j),(-0.0014441391788753497+0j),(-0.007178258902430844+0j),(0.006802946641607186+0j),(0.001412217820010035+0j),(-0.0027500888194501413+0j),(0.03828115778059159+0j),(-0.03949096929695345+0j),(0.031067461612248708+0j),(0.05158905542722555+0j),(-0.03728190318378258+0j),(-0.04428705918410674+0j),(0.0830731717096688+0j),(0.03797488953796687+0j),(0.10838357524616223+0j),(0.028670507998949112+0j),(-0.22454282702324127+0j),(0.48692680771929664+0j),(0.45960857514100767+0j),(0.2829955343836487+0j),(0.01762430326130103+0.05191394624591361j),(0.01762430326130103-0.05191394624591361j),(0.05827622501326605+0j),(0.1570325615996285+0j),(-0.19688857625362144+0j),(-0.1514046355257205+0j),(-0.1247811120796992+0j),(-0.05484783025461407+0j),(0.021495648085232553+0j)
11,(0.00011197970148350176+0j),(-0.00012077823632037856+0j),(0.00018956565375263055+0j),(0.00023775760606974344+0j),(5.0777463902627445e-05+0j),(-5.10830765177377e-05+0j),(4.061523448680327e-05+0j),(-0.00010871691015526731+0j),(-6.512362143562839e-05+0j),(0.000304261026354941+0j),(-9.873503630687566e-05+0j),(-0.0006015408625166186+0j),(-9.888715123104321e-05+0j),(-0.0003577383307975066+0j),(0.0015693584455704847+0j),(-0.0015535632346168917+0j),(-0.002233804207715034+0j),(-0.008539242994102001+0j),(0.010126911911138578+0j),(-0.002554848532504047+0j),(-0.005321142735197417+0j),(-0.02584667645854687+0j),(0.028805802141249365-0.07458610557609684j),(0.028805802141249365+0.07458610557609684j),(-0.08042628048066405+0j),(0.09791105314991702+0j),(-0.032652909506133025+0j),(0.03581256895087044+0j),(0.04117750076054025+0j),(-0.41104710843520476+0j),(0.737330714437501+0j)
12,(-0.0023237344380605094+0j),(0.001929796411178539+0j),(0.0014518316466710806+0j),(0.0016884471155255046+0j),(0.006953911790452992+0j),(-0.006402564436463077+0j),(-0.001015336247391791+0j),(-0.00113514148456319+0j),(0.011058145518794929+0j),(-0.0034159998181072064+0j),(-0.045970322633042994+0j),(-0.008524633309932765+0j),(-0.043280470413493914+0j),(-0.009697560877237806+0j),(0.7011698183831266+0j),(-0.623579621158685+0j),(-0.7017838914257898+0j),(0.044815504489978196+0j),(0.1717371063032891+0j),(0.1056061999438821+0j),(0.01066675776656554+0j),(-0.024600699683052226+0j),(0.005314905903261845-0.00685263847946824j),(0.005314905903261845+0.00685263847946824j),(0.03483427175115779+0j),(-0.032911919362550154+0j),(-0.00992896480426021+0j),(0.014122755332201364+0j),(0.016267136130564686+0j),(0.002650070319152114+0j),(-0.010968134455601382+0j)
13,(-0.0041805997070751034+0j),(-0.003994178642748138+0j),(-0.0037724648782984775+0j),(0.003647082972850047+0j),(0.0027701527017757453+0j),(0.0022352540457133826+0j),(-0.02430464290459352+0j),(-0.023711824275393117+0j),(0.2571293477064327+0j),(0.2572744340920707+0j),(0.20086916099131097+0j),(-0.623778536009837+0j),(0.20403782753477062+0j),(-0.6249646572141923+0j),(0.009747882827282001+0j),(0.0030835132453186846+0j),(0.0017264408211652034+0j),(0.04916827663491507+0j),(-0.04259416093519205+0j),(0.0012628659270346226+0j),(-0.005613094745059659+0j),(0.001518077121525962+0j),(-0.0008640104322633457-0.0004809680124445855j),(-0.0008640104322633457+0.0004809680124445855j),(0.0010185119112056029+0j),(-0.0008117453444567399+0j),(-0.0016587639382952349+0j),(-0.0007866260966262626+0j),(-0.0005890953023852507+0j),(-0.0006469156719696629+0j),(0.0002959028999256553+0j)
14,(0.17257640359324128+0j),(-0.17257328244473372+0j),(0.11766229040718684+0j),(0.1178624640260765+0j),(-0.273330510360664+0j),(0.2733057142543381+0j),(0.015045401543769071+0j),(-0.015143087972759409+0j),(-0.4001714177114304+0j),(0.40326578689974135+0j),(-0.2138191409351057+0j),(0.05714152904689695+0j),(0.21409523445908346+0j),(-0.056809202957030985+0j),(0.27272038379903596+0j),(0.2972585632835669+0j),(0.23059845524172035+0j),(0.09384646688175044+0j),(0.1240850382363231+0j),(-0.19603359474519588+0j),(0.17663551733903393+0j),(0.05560411564810361+0j),(-0.08525889614620095-0.07563122090995845j),(-0.08525889614620095+0.07563122090995845j),(0.03499967380819002+0j),(-0.015990821925432216+0j),(0.0046495873390282995+0j),(-0.0016114691380788508+0j),(-0.004696979002435858+0j),(0.0320354440388025+0j),(-0.03116936127112726+0j)
15,(-0.126503516481801+0j),(0.1265017659387666+0j),(-0.034854460405488785+0j),(-0.03484005847396232+0j),(0.24571357302611277+0j),(-0.24603189561997027+0j),(0.21926220585510714+0j),(-0.21836298025229767+0j),(-0.00498872256219644+0j),(0.0063477214205547635+0j),(0.12920448384670477+0j),(0.4059322529992545+0j),(-0.12549376272868007+0j),(-0.4074216079335727+0j),(0.24696961009247817+0j),(0.24371793695737246+0j),(0.24637601453810606+0j),(0.1283277237880775+0j),(0.09691077655325739+0j),(-0.201879779721418+0j),(0.07448743723483472+0j),(-0.11597404738665779+0j),(0.22383785271614892-0.001872235896222152j),(0.22383785271614892+0.001872235896222152j),(-0.06036907667613415+0j),(-0.05402687300716107+0j),(0.18612950552373983+0j),(0.12292908493746438+0j),(0.11539093603584152+0j),(0.017855623952932404+0j),(0.04596391724846649+0j)
16,(-0.0649978681916121+0j),(0.06498302197079571+0j),(-0.06736261442950117+0j),(-0.0673681616895397+0j),(-0.01715330392079102+0j),(0.017339099396759493+0j),(-0.13740998416244163+0j),(0.13768034839425883+0j),(-0.07828162108868694+0j),(0.07845448668589881+0j),(-0.07248260978846131+0j),(0.14436986154887993+0j),(0.07377915718262248+0j),(-0.1450599105828745+0j),(-0.13302057280457819+0j),(-0.1412603221604349+0j),(-0.09795399386919909+0j),(-0.13198569904518323+0j),(-0.10281352048053102+0j),(0.15474506495425952+0j),(-0.1871945016538371+0j),(0.0371743977272391+0j),(0.15496837358811621-0.2366161407702716j),(0.15496837358811621+0.2366161407702716j),(-0.42406287551308586+0j),(0.2516899813386505+0j),(-0.07372058210277646+0j),(-0.18219142354803902+0j),(-0.17130862749376896+0j),(0.009068493634224213+0j),(-0.023072406174387085+0j)
17,(-0.5113131233320793+0j),(0.5113074094037066+0j),(0.3832034053927054+0j),(0.38328201885833035+0j),(0.04565591401762734+0j),(-0.045680251564490855+0j),(-0.15318895978880626+0j),(0.1554060420798557+0j),(-0.01286217949434911+0j),(0.011324953425483416+0j),(-0.03147925791681806+0j),(-0.08305852570879614+0j),(0.03514448997375299+0j),(0.0845090842432921+0j),(0.13374158252281254+0j),(0.16302036979646806+0j),(0.08224967838508786+0j),(0.0407780374095573+0j),(0.09832904098702969+0j),(0.07831911139491426+0j),(-0.13205344285092807+0j),(0.17362830023492554+0j),(-0.10417280392486351-0.014672690787015406j),(-0.10417280392486351+0.014672690787015406j),(0.13274630813873878+0j),(-0.08029809297091586+0j),(-0.018477051770794565+0j),(0.039361649150050894+0j),(0.04451207935022454+0j),(-0.0057231452535228084+0j),(-0.0011764800739450148+0j)
18,(0.006100353025448987+0j),(-0.006099768046523839+0j),(0.0113243608515838+0j),(0.011317781481116047+0j),(-0.0017631602518046548+0j),(0.0017601818108106979+0j),(0.005477583320590748+0j),(-0.005552197475863206+0j),(0.022364847073671694+0j),(-0.02240481790646503+0j),(0.010191527525090432+0j),(-0.0019875158340273372+0j),(-0.010114271013546687+0j),(0.002211058036407309+0j),(0.013872784220365393+0j),(0.012099777201208015+0j),(0.019784065585477458+0j),(0.0071121956020640115+0j),(-0.0064984070308342886+0j),(0.011135057144928295+0j),(-0.013378799205331344+0j),(-0.04123765349659046+0j),(-0.05651514572244833-0.019298824648563414j),(-0.05651514572244833+0.019298824648563414j),(-0.0015468210102005245+0j),(0.011595328903466774+0j),(0.0014409241679226384+0j),(0.0252853745691688+0j),(0.032262474460913855+0j),(0.8875110730912709+0j),(0.4907272228592075+0j)
19,(-0.2278386510054588+0j),(0.22783512369706888+0j),(-0.44673941087537244+0j),(-0.4466674091405262+0j),(0.15375010829957864+0j),(-0.15352719261932626+0j),(-0.07989037138088802+0j),(0.08128240705454268+0j),(0.0004941569388026794+0j),(-0.002263392207920554+0j),(-0.40900557373458285+0j),(-0.05214410937094008+0j),(0.4125970723359399+0j),(0.05461375362917249+0j),(0.12009245204789762+0j),(0.11140908107305109+0j),(0.10751914136343953+0j),(0.10569776436594404+0j),(0.04485344862778231+0j),(-0.027321422836032245+0j),(0.07616471726225446+0j),(-0.04992592625596744+0j),(-0.1039705142880963+0.014969632349061249j),(-0.1039705142880963-0.014969632349061249j),(0.01923168572662049+0j),(0.01783827505021272+0j),(-0.07517897243970767+0j),(-0.07155876759255637+0j),(-0.071738595359753+0j),(0.00633096952004458+0j),(-0.0026609839235417487+0j)
20,(0.008512557178186032+0j),(0.010996644330098669+0j),(0.004153350160121206+0j),(-0.005047171618825732+0j),(-0.026916539392693613+0j),(-0.028144259007763864+0j),(0.03039668522365632+0j),(0.03492193856076396+0j),(-0.15952231199965913+0j),(-0.15830511484679502+0j),(-0.6325093440439702+0j),(-0.2735699989749932+0j),(-0.6277758319460289+0j),(-0.27075587812935675+0j),(-0.04128868530798706+0j),(0.03437643872311881+0j),(0.04681797628746517+0j),(-0.012693580525422628+0j),(-0.0062107688445178005+0j),(-0.0058937765252229084+0j),(-0.0009032003284618739+0j),(0.0018922718362567302+0j),(-0.001468093963814277-0.0003753492362035524j),(-0.001468093963814277+0.0003753492362035524j),(-0.0031282676752209396+0j),(0.001571828477129884+0j),(0.001387401312963924+0j),(-0.0007070848829019978+0j),(-0.0010157694653247706+0j),(0.0002400103326093893+0j),(0.0001519954147515737+0j)
21,(3.837165402392903e-06+0j),(0.0011533780559924102+0j),(0.0009467596046989597+0j),(-0.0002808857953994467+0j),(-0.0015356619226970384+0j),(0.0004910031110658747+0j),(-0.0008831831261348474+0j),(4.573040593047664e-06+0j),(-0.008022122700781946+0j),(-0.007710755248285122+0j),(-0.022612375434731335+0j),(0.04242767034396388+0j),(-0.025731478486858906+0j),(0.03529245815726613+0j),(0.06842053878569167+0j),(-0.017935928027950177+0j),(0.010417345827325305+0j),(0.6147758656191237+0j),(-0.5512370984138875+0j),(-0.2489165152805261+0j),(-0.28339009650118474+0j),(0.14140657453875818+0j),(-0.007810889742798148+0.03843475227935073j),(-0.007810889742798148-0.03843475227935073j),(0.002827821328761987+0j),(0.08170835036478162+0j),(-0.06437170251714985+0j),(-0.045341411825612965+0j),(-0.0351234803779897+0j),(-0.0369940751463931+0j),(0.020933763041547013+0j)
22,(-0.00606243293900807+0j),(-0.005702053820282207+0j),(0.046363490298380126+0j),(-0.04680792867198008+0j),(0.10422187497038664+0j),(0.10517952162795759+0j),(-0.5391273210931394+0j),(-0.5396133262943903+0j),(-0.4122571355037486+0j),(-0.4109301964166597+0j),(0.1176532400085828+0j),(-0.10977020671390422+0j),(0.1185241286540077+0j),(-0.10942733240678407+0j),(0.008644991387735966+0j),(-0.0021907864867065506+0j),(-0.008782396694240194+0j),(0.007437674115387897+0j),(-0.00010148289076206125+0j),(0.001813556843209921+0j),(-0.0011051478582441117+0j),(0.0003790804725715064+0j),(-0.0001491276380976351-0.0002490487412579182j),(-0.0001491276380976351+0.0002490487412579182j),(0.0013691599866804014+0j),(-0.0009202978259284805+0j),(-0.0008088062742362897+0j),(-9.09723901426362e-05+0j),(4.803396339217386e-05+0j),(-0.00016230799070287801+0j),(6.182207792963466e-05+0j)
23,(-0.7013202162702347+0j),(-0.7012900871797701+0j),(-0.08841325955107553+0j),(0.08839987676450889+0j),(-0.015121416123139391+0j),(-0.015073265152702884+0j),(0.0007706563482110301+0j),(0.0007986953830682565+0j),(-0.007181815716985043+0j),(-0.007148893725226585+0j),(-0.008667496580917838+0j),(-0.0007129439767131493+0j),(-0.008630479156423787+0j),(-0.0006899696890357343+0j),(-0.0006651697827181434+0j),(0.000692241568931423+0j),(0.0007628727600403789+0j),(0.0003025494709883799+0j),(-0.0004722583268914842+0j),(-8.037614464467744e-05+0j),(-3.907792178721364e-05+0j),(5.4951373062850404e-05+0j),(-3.323778693196083e-05-5.343803184990761e-06j),(-3.323778693196083e-05+5.343803184990761e-06j),(-2.9311973654734563e-06+0j),(7.701319683881044e-06+0j),(4.640693004320392e-06+0j),(-7.413239199240952e-06+0j),(-8.635732477622213e-06+0j),(-1.3591250659234343e-06+0j),(4.398452511860329e-06+0j)
24,(-0.1427233698495208+0j),(0.1427225052741871+0j),(-0.22546625978041102+0j),(-0.22544421528504732+0j),(0.030873900453764046+0j),(-0.03117035142667514+0j),(0.22629681989416955+0j),(-0.22454423484897865+0j),(-0.23112588259812353+0j),(0.23119739170785988+0j),(0.23563746102636138+0j),(-0.03467514414848594+0j),(-0.23432554763150873+0j),(0.0342676787601966+0j),(-0.09546831489676619+0j),(0.019045822951386144+0j),(-0.13877013672332394+0j),(-0.2614755052444874+0j),(0.005442056834677909+0j),(-0.05290905503306566+0j),(-0.04010729728374351+0j),(0.48050399516607806+0j),(-0.20555987441899262-0.013587351878056625j),(-0.20555987441899262+0.013587351878056625j),(0.21782041090729512+0j),(-0.11115242224922524+0j),(-0.024989882069544885+0j),(0.14038359303223602+0j),(0.16202899430915038+0j),(-0.010461997302060206+0j),(0.042414320204202195+0j)
25,(-0.02903964000846576+0j),(0.029046331096800868+0j),(-0.03255851504723703+0j),(-0.03252593021889081+0j),(-0.0282692273471091+0j),(0.028204458614761625+0j),(0.012007739783406017+0j),(-0.01207480479967077+0j),(-0.025179292242261207+0j),(0.02460722827592912+0j),(0.029639953358804164+0j),(-0.05868932017396516+0j),(-0.030530488240749092+0j),(0.05739151350118875+0j),(0.02920444346053003+0j),(0.020651124520102846+0j),(0.035184984133235585+0j),(-0.03303338601422297+0j),(-0.04808519566376379+0j),(-0.06600467553845694+0j),(-0.08991149617567827+0j),(0.3113162980173422+0j),(0.6226290892279075+0j),(0.6226290892279075-0j),(-0.5166489509812899+0j),(0.5181018911307058+0j),(-0.7216927879185875+0j),(-0.4977213733687922+0j),(-0.4575045576778701+0j),(-0.001877489846844567+0j),(-0.32264333144986+0j)
